"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",1.21178656171249e-16,4.1321921754396e-13,1.04762648849882,-0.615203353967682,-2.73731286099506,119,"EIF4A1; EIF4H; EIF3B; RPS18; RPS26; RPS3A; RPS28; RPL21; EIF4B; RPS27A; RPL36A; EIF3I; RPL7; RPS14; RPL22; RPL10; RPL35A; RPS13; RPL11; RPL22L1; RPL34; RPL13A; RPL18; RPL37; RPL3; RPL23; RPL24; RPL38; RPL15; RPL4; EIF3L; RPL23A; RPL27A; RPS25; RPL5; RPL36AL; EIF3D; RPS23; EIF3F; RPL7A; RPLP2; RPS21; EIF3M; PABPC1; EIF3E; EIF3H; RPS20; RPL37A; RPL19; RPS10; EIF2B5; RPL10L; RPS16; RPL18A; EIF4EBP1; EIF2S3; RPS9; RPL32; RPL26; EIF4E; RPS2; RPS6; RPL6; RPL36; RPS3; RPL30; RPS15; RPL8; RPL14; EIF3K; RPS29; RPL28; RPL29; RPL9; RPL41; RPS11; RPL27; RPL26L1; RPS12; UBA52; EIF3C; RPL35; RPS5; RPS15A; RPS19; EIF3G; RPL31; RPL17; RPL13; RPS7; EIF1AX; RPS4Y1"
"REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL",3.86002772554365e-16,6.58134727205193e-13,1.03769615548758,-0.569124307607327,-2.60452015987868,144,"UBC; ANKZF1; UBE2D2; RPS18; RPS26; RPS3A; RPS28; RPL21; PSMC1; RPS27A; TCF25; RPL36A; PSMA6; RPL7; RPS14; RPL22; PELO; RPL10; ELOC; RPL35A; RPS13; RPL11; RPL22L1; PSMB1; RPL34; RPL13A; RPL18; RPL37; PSMB2; RPL3; RPL23; RPL24; RPL38; RPL15; RPL4; RPL23A; RPL27A; RPS25; RPL5; RBX1; RPL36AL; RPS23; RPL7A; RPLP2; RPS21; SEM1; RPS20; RPL37A; RPL19; RPS10; PSMA2; RPL10L; RPS16; RPL18A; RPS9; RPL32; RPL26; RPS2; RPS6; RPL6; RPL36; RPS3; RPL30; RPS15; RPL8; RPL14; RPS29; ELOB; RPL28; RPL29; PSMC6; RPL9; RPL41; RPS11; RPL27; PSMC4; RPL26L1; RPS12; UBA52; RPL35; RPS5; RPS15A; PSMB4; RPS19; RPL31; RPL17; RPL13; RPS7; RPS4Y1; PSMB7; PSMD13; UFD1; RPS8; PSMD14; UBE2D3; FAU; RPS17; ASCC3; RPLP0; RCHY1; PSMD2; RPS4X; HBS1L"
"REACTOME_SELENOAMINO_ACID_METABOLISM",8.6723448258093e-16,9.85756528533657e-13,1.02766987054358,-0.607755916204467,-2.69225410425749,117,"INMT; PAPSS1; GSR; DARS1; RPS18; RPS26; RPS3A; RPS28; RPL21; MAT1A; RPS27A; RPL36A; RPL7; RPS14; RPL22; RPL10; RPL35A; RPS13; RPL11; RPL22L1; KARS1; RPL34; RPL13A; RPL18; RPL37; RPL3; CTH; RPL23; RPL24; RPL38; RPL15; RPL4; RPL23A; RPL27A; RPS25; RPL5; RPL36AL; RPS23; RPL7A; RPLP2; RPS21; TXNRD1; PSTK; RPS20; RPL37A; RPL19; RPS10; RPL10L; RPS16; RPL18A; RPS9; RPL32; RPL26; RPS2; RPS6; RPL6; QARS1; RPL36; RPS3; RPL30; RPS15; RPL8; RPL14; RPS29; HNMT; RPL28; RPL29; RPL9; RPL41; RPS11; RPL27; RPL26L1; PAPSS2; RPS12; UBA52; RPL35; RPS5; RPS15A; RPS19; RPL31; RPL17; RPL13; RPS7; SEPSECS; RPS4Y1"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",1.65145616061417e-15,1.12629310153886e-12,1.01754479730988,-0.638582594522197,-2.71891537520169,92,"RPS18; RPS26; RPS3A; RPS28; RPL21; RPS27A; RPL36A; RPL7; RPS14; RPL22; RPL10; RPL35A; RPS13; RPL11; RPL22L1; RPL34; RPL13A; RPL18; RPL37; RPL3; RPL23; RPL24; RPL38; RPL15; RPL4; EEF2; RPL23A; RPL27A; RPS25; RPL5; RPL36AL; RPS23; RPL7A; RPLP2; RPS21; RPS20; RPL37A; RPL19; RPS10; RPL10L; RPS16; RPL18A; RPS9; RPL32; RPL26; RPS2; RPS6; RPL6; RPL36; RPS3; RPL30; RPS15; RPL8; RPL14; EEF1A1; RPS29; EEF1B2; RPL28; RPL29; RPL9; RPL41; RPS11; RPL27; RPL26L1; RPS12; UBA52; RPL35; RPS5; RPS15A; RPS19; RPL31; RPL17; RPL13; RPS7"
"REACTOME_TRANSLATION",1.45007230523341e-15,1.12629310153886e-12,1.01754479730988,-0.421974354159867,-2.16829827237661,365,"UBC; EIF4A1; DARS1; NDUFAB1; ANKZF1; SEC61G; MRPL17; MT-RNR1; IARS2; EIF4H; UBE2D2; EIF3B; RPS18; RPS26; RPS3A; RPS28; RPL21; SEC11A; MRPS9; PSMC1; EIF4B; RPS27A; MRPS18B; TCF25; MT-RNR2; MRPL32; RPL36A; PSMA6; MT-CO1; EIF3I; TUFM; MRPS27; RPL7; TARS2; MRPL22; MT-CO3; RPS14; RPL22; PELO; RPL10; ELOC; MRPS24; RPL35A; RPS13; RPL11; MRRF; MT-ND4; RPL22L1; KARS1; PSMB1; RPL34; RPL13A; RPL18; SRP14; RPL37; PSMB2; RPL3; YARS1; RPL23; RPL24; RPL38; RPL15; RPL4; MRPL44; EEF2; EIF3L; RPL23A; RPL27A; RPS25; RPL5; RBX1; OXA1L; RPL36AL; EIF3D; RPS23; MRPL43; MRPL39; EIF3F; RPL7A; RPLP2; RPS21; EIF3M; MRPS22; PABPC1; MT-ND4L; SRP72; SEM1; EIF3E; EIF3H; RPS20; RPL37A; MRPS16; RPL19; RPS10; PSMA2; ERAL1; MRPS30; MRPS23; EIF2B5; RPL10L; RPS16; MRPL40; RPL18A; VARS2; EIF4EBP1; EIF2S3; GFM1; MRPS10; RPS9; RPL32; MRPS35; RPL26; EIF4E; RPS2; RPS6; SSR2; RPL6; QARS1; SARS2; MRPL13; RPL36; RPS3; RPL30; MRPL10; RPS15; RPL8; MRPS33; RPL14; EEF1A1; EIF3K; RPS29; WARS2; EEF1B2; CARS2; ELOB; RPL28; MRPL16; RPL29; PSMC6; RPL9; MRPL11; MRPS2; RPL41; PPA1; RPS11; RPL27; PSMC4; RPL26L1; RPS12; UBA52; EIF3C; MTIF3; TSFM; RPL35; RPS5; RPS15A; PSMB4; RPS19; MRPL45; EIF3G; MRPL42; RPL31; RPL17; RPL13; RPS7; MRPL55; EIF1AX; SPCS1; SRP9; RPS4Y1; PSMB7; PSMD13; UFD1; VARS1; RPS8; MRPL2; MRPL54; PSMD14; UBE2D3; FAU; MRPL37; MRPS28; AIMP1; RPS17; AARS2; FARSA; ASCC3; RPLP0; FARS2; MRPL48; RCHY1; PSMD2; SSR4; RPS4X; HBS1L; SRP68; MTIF2"
"KEGG_RIBOSOME",2.44159394889628e-15,1.38763922762272e-12,1.00731795687447,-0.644582522267876,-2.72213325706926,88,"RPS18; RPS26; RPS3A; RPS28; RPL21; RPS27A; RPL36A; RPL7; RPL22; RPL10; RPL35A; RPS13; RPL11; RPL22L1; RPL34; RPL13A; RPL18; RPL37; RPL3; RPL23; RPL24; RPL38; RPL15; RPL4; RPL23A; RPL27A; RPS25; RPL5; RSL24D1; RPL36AL; RPS23; RSL24D1P11; RPL7A; RPLP2; RPS21; RPS20; RPL37A; RPL19; RPS10; RPL10L; RPS16; RPL18A; RPS9; RPL32; RPL26; RPS2; RPS6; RPL6; MRPL13; RPL36; RPS3; RPL30; RPS15; RPL8; RPL14; RPS29; RPL28; RPL29; RPL9; RPL41; RPS11; RPL27; RPL26L1; RPS12; UBA52; RPL35; RPS5; RPS15A; RPS19; RPL31; RPL17; RPL13; RPS7"
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",2.09086389091533e-14,1.01854940971732e-11,0.97599468306432,-0.429168736175448,-2.17593030306039,325,"CAV1; INMT; ASPG; PAPSS1; SLC3A2; CKB; BCKDHA; GPT2; NQO1; ARG2; GSR; PNMT; NAT8L; DDO; DARS1; ECHS1; FMO1; NAGS; ACAT1; SLC36A4; DDC; RIMKLA; SERINC1; HGD; QDPR; MCCC2; RPS18; RPS26; RPS3A; RPS28; RPL21; CGA; PAOX; KYAT1; HAO1; SLC5A5; ASS1; ODC1; MAT1A; PSMC1; RPS27A; BCKDHB; RPL36A; PSMA6; ALDH18A1; CKMT1B; ALDH6A1; RPL7; PRODH; OAZ2; RPS14; SLC25A10; RPL22; RPL10; SLC6A8; RPL35A; RPS13; RPL11; RPL22L1; SHMT1; KARS1; BCKDK; PSMB1; SAT1; RPL34; RPL13A; RPL18; RPL37; KYAT3; PSMB2; RPL3; CKMT1A; ACADSB; CTH; CPS1; RPL23; RPL24; RPL38; BCAT2; SRR; AFMID; RPL15; RPL4; DUOX2; OCA2; RPL23A; RPL27A; RPS25; RPL5; RPL36AL; GLUD2; RPS23; RPL7A; RPLP2; GLUL; RPS21; SLC7A5; TXN2; SEM1; TXNRD1; PSTK; RPS20; RPL37A; RPL19; RPS10; PSMA2; RPL10L; RPS16; SMOX; RPL18A; IVD; RPS9; RPL32; ALDH9A1; DHTKD1; RPL26; ENOPH1; RPS2; DBH; RPS6; RPL6; QARS1; RPL36; RPS3; RPL30; GLUD1; RPS15; RPL8; RPL14; RPS29; HNMT; PXMP2; MCCC1; DLST; GLS2; RPL28; RPL29; FAH; PSMC6; RPL9; RPL41; PIPOX; RPS11; RPL27; SARDH; PSMC4; RPL26L1; PAPSS2; RPS12; UBA52; RPL35; RPS5; SERINC3; HIBADH; RPS15A; PSMB4; RPS19; RPL31; RPL17; RPL13; AUH; RPS7; SLC6A7; NMRAL1; DLD; SEPSECS; RPS4Y1; PSMB7; APIP; PSMD13; GPT"
"PID_HIF1_TFPATHWAY",2.78731669527601e-14,1.1880937413614e-11,0.97599468306432,-0.700890618124932,-2.76939122571679,61,"ID2; HMOX1; CP; BHLHE41; HK1; ADM; ENO1; CITED2; CXCR4; CXCL12; NDRG1; FOS; BHLHE40; ALDOA; BNIP3; PFKFB3; HK2; SLC2A1; VEGFA; ETS1; PKM; LDHA; PGK1; RORA; EGLN1; PLIN2; PGM1; PFKL"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",1.79537992594913e-13,6.80249505276283e-11,0.943632225232838,-0.575025679276437,-2.53207579538409,112,"SEC61G; RPS18; RPS26; RPS3A; RPS28; RPL21; SEC11A; RPS27A; RPL36A; RPL7; RPS14; RPL22; RPL10; RPL35A; RPS13; RPL11; RPL22L1; RPL34; RPL13A; RPL18; SRP14; RPL37; RPL3; RPL23; RPL24; RPL38; RPL15; RPL4; RPL23A; RPL27A; RPS25; RPL5; RPL36AL; RPS23; RPL7A; RPLP2; RPS21; SRP72; RPS20; RPL37A; RPL19; RPS10; RPL10L; RPS16; RPL18A; RPS9; RPL32; RPL26; RPS2; RPS6; SSR2; RPL6; RPL36; RPS3; RPL30; RPS15; RPL8; RPL14; RPS29; RPL28; RPL29; RPL9; RPL41; RPS11; RPL27; RPL26L1; RPS12; UBA52; RPL35; RPS5; RPS15A; RPS19; RPL31; RPL17; RPL13; RPS7; SPCS1; SRP9; RPS4Y1"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",3.42239245578402e-13,1.16703582742235e-10,0.932595211336209,-0.602687453528827,-2.60822335019658,101,"ATF3; RPS18; RPS26; RPS3A; RPS28; RPL21; RPS27A; RPL36A; RPL7; RPS14; RPL22; RPL10; RPL35A; RPS13; RPL11; RPL22L1; RPL34; RPL13A; RPL18; RPL37; RPL3; RPL23; RPL24; RPL38; RPL15; RPL4; RPL23A; RPL27A; RPS25; RPL5; RPL36AL; RPS23; RPL7A; RPLP2; RPS21; RPS20; RPL37A; RPL19; RPS10; RPL10L; RPS16; RPL18A; EIF2S3; RPS9; RPL32; RPL26; RPS2; RPS6; RPL6; RPL36; RPS3; RPL30; RPS15; RPL8; RPL14; ATF2; RPS29; RPL28; RPL29; RPL9; RPL41; RPS11; RPL27; RPL26L1; RPS12; UBA52; RPL35; TRIB3; RPS5; RPS15A; RPS19; RPL31; RPL17; RPL13; RPS7"
