"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",3.01885974230794e-26,1.02943117212701e-22,1.32671609800481,-0.740286236121585,-3.20577391296139,92,"RPS28; RPS26; RPS21; RPL12; RPL34; RPS29; RPL38; RPSA; RPL27A; RPS14; RPL35A; RPL37; RPS25; RPL11; RPL23; RPS23; RPS18; RPL23A; RPL18; RPL13A; RPS3A; RPL18A; RPL10; RPS11; RPL31; RPS19; RPL21; RPL32; UBA52; RPL37A; RPS27A; RPL7A; RPS16; RPS15; RPL28; RPS7; RPL3; RPL24; RPL4; RPS13; RPL36; RPL13; RPS3; RPS20; RPL27; RPL41; EEF1A1; RPL30; RPS9; EEF2; RPS5; RPLP2; RPL29; RPLP0; RPS12; RPS6; RPL15; RPL7; RPL6; RPS2; RPL19; RPS24; RPL36A; RPL35; RPL8; EEF1D; FAU; RPS4X; RPL3L; RPL5; RPL22; RPS27; EEF1B2; RPL10A; RPL14"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",2.69662327771923e-25,4.59774268851128e-22,1.30309315086572,-0.675489107657267,-3.04618888014528,119,"RPS28; RPS26; RPS21; RPL12; RPL34; RPS29; RPL38; EIF4A1; RPSA; RPL27A; RPS14; RPL35A; RPL37; RPS25; RPL11; RPL23; RPS23; RPS18; RPL23A; EIF4H; RPL18; RPL13A; RPS3A; RPL18A; RPL10; RPS11; RPL31; RPS19; RPL21; RPL32; UBA52; EIF3B; RPL37A; RPS27A; RPL7A; RPS16; RPS15; RPL28; RPS7; RPL3; EIF3F; RPL24; RPL4; RPS13; RPL36; RPL13; RPS3; RPS20; RPL27; RPL41; RPL30; RPS9; EIF3D; RPS5; EIF3C; RPLP2; RPL29; RPLP0; RPS12; RPS6; RPL15; EIF3K; RPL7; RPL6; RPS2; RPL19; RPS24; RPL36A; EIF4B; RPL35; RPL8; FAU; RPS4X; EIF3L; RPL3L; RPL5; EIF3G; RPL22; RPS27; PABPC1; EIF3H; RPL10A; EIF2B4; RPL14"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",1.67047577708092e-24,1.89877413328198e-21,1.27903397725049,-0.736941581279219,-3.17138398423071,88,"RPS28; RPS26; RPS21; RPL12; RPL34; RPS29; RPL38; RPSA; RPL27A; RPS14; RPL35A; RPL37; RPS25; RPL11; RPL23; RPS23; RPS18; RPL23A; RPL18; RPL13A; RPS3A; RPL18A; RPL10; RPS11; RPL31; RPS19; RPL21; RPL32; UBA52; RPL37A; RPS27A; RPL7A; RPS16; RPS15; RPL28; RPS7; RPL3; RPL24; RPL4; RPS13; RPL36; RPL13; RPS3; RPS20; RPL27; RPL41; RPL30; RPS9; RPS5; RPLP2; RPL29; RPLP0; RPS12; RPS6; RPL15; RPL7; RPL6; RPS2; RPL19; RPS24; RPL36A; RPL35; RPL8; RPS6KB2; FAU; RPS4X; RPL3L; RPL5; RPL22; RPS27; RPL10A; RPL14"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",4.46063537370919e-24,3.80269165608708e-21,1.27091304449619,-0.680159151034403,-3.04730748906818,112,"RPS28; RPS26; RPS21; RPL12; RPL34; RPS29; RPL38; RPSA; RPL27A; RPS14; RPL35A; RPL37; RPS25; RPL11; SEC61G; RPL23; RPS23; RPS18; RPL23A; RPL18; RPL13A; RPS3A; RPL18A; RPL10; RPS11; RPL31; RPS19; RPL21; RPL32; UBA52; RPL37A; RPS27A; RPL7A; RPS16; RPS15; RPL28; RPS7; RPL3; RPL24; RPL4; RPS13; RPL36; RPL13; RPS3; RPS20; RPL27; RPL41; RPL30; RPS9; RPS5; RPLP2; RPL29; RPLP0; RPS12; RPS6; RPL15; RPL7; RPL6; RPS2; RPL19; SRP14; RPS24; RPL36A; RPL35; SEC11A; RPL8; FAU; RPS4X; RPL3L; RPL5; RPL22; RPS27; RPL10A; RPL14; SSR4"
"KEGG_RIBOSOME",2.26392790097956e-23,1.54399882846806e-20,1.25451347943706,-0.726462877295668,-3.12628950885691,88,"RPS28; RPS26; RPS21; RPL12; RPL34; RPS29; RPL38; RPSA; RPL27A; RPL35A; RPL37; RPS25; RPL11; RPL23; RPS23; RPS18; RPL23A; RPL18; RPL13A; RPS3A; RPL18A; RPL10; RPS11; RPL31; RPS19; RPL21; RPL32; UBA52; RPL37A; RPS27A; RPL7A; RPS16; RPS15; RPL28; RPS7; RPL3; RPL24; RPL4; RPS13; RPL36; RPL13; RPS3; RPS20; RPL27; RPL41; RPL30; RPS9; RPS5; RPLP2; RPL29; RPLP0; RPS12; RPS6; RPL15; RPL7; RPL6; RPS2; RPL19; RPS24; RPL36A; RPL35; RPL8; FAU; RPS4X; RPL3L; RPL5; RPL22; RPS27; RPL10A; RPL14"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD",4.71327371319075e-23,2.67871056033008e-20,1.24623277191648,-0.673909003241115,-3.02691105276193,114,"RPS28; RPS26; RPS21; RPL12; RPL34; RPS29; RPL38; RPSA; RPL27A; EIF4A3; RPS14; RPL35A; RPL37; RPS25; RPL11; RPL23; RPS23; RPS18; RPL23A; RPL18; RPL13A; RPS3A; RPL18A; RPL10; RPS11; RPL31; RPS19; RPL21; RPL32; UBA52; RPL37A; RPS27A; RPL7A; RPS16; RPS15; RPL28; RPS7; CASC3; RPL3; RPL24; RPL4; RPS13; RPL36; RPL13; RPS3; RPS20; RPL27; RPL41; RPL30; RPS9; RPS5; RPLP2; RPL29; RPLP0; RPS12; RPS6; RPL15; RPL7; RPL6; RPS2; RPL19; RPS24; RPL36A; RPL35; RPL8; RNPS1; FAU; RPS4X; RPL3L; RPL5; PPP2R1A; RPL22; RPS27; PABPC1; RPL10A; RPL14"
"REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL",7.04660162728206e-23,3.10791185402405e-20,1.23789667319529,-0.626987330836741,-2.92136736409583,144,"UBC; ANKZF1; RPS28; RPS26; RPS21; RPL12; RPL34; RPS29; RPL38; RPSA; RPL27A; RPS14; RPL35A; RPL37; RPS25; RPL11; TCF25; RPL23; RPS23; RPS18; RPL23A; RPL18; RPL13A; RPS3A; RPL18A; RPL10; RBX1; RPS11; RPL31; RPS19; RPL21; RPL32; UBA52; RPL37A; RPS27A; RPL7A; RPS16; RPS15; RPL28; RPS7; RPL3; RPL24; RPL4; RPS13; RPL36; RPL13; RPS3; RPS20; RPL27; RPL41; RPL30; RPS9; RPS5; RPLP2; UBE2D2; RPL29; RPLP0; RPS12; RPS6; RPL15; RPL7; RPL6; RPS2; ELOB; RPL19; PELO; RPS24; RPL36A; RPL35; RPL8; FAU; RPS4X; RPL3L; RPL5; SEM1; RPL22; RPS27; RPL10A; RPL14"
"REACTOME_SELENOAMINO_ACID_METABOLISM",7.29128880709454e-23,3.10791185402405e-20,1.23789667319529,-0.664472998402733,-2.99164513198598,117,"INMT; RPS28; RPS26; RPS21; RPL12; RPL34; RPS29; RPL38; RPSA; RPL27A; RPS14; RPL35A; RPL37; RPS25; RPL11; RPL23; RPS23; RPS18; RPL23A; PAPSS1; RPL18; RPL13A; RPS3A; RPL18A; RPL10; RPS11; RPL31; RPS19; RPL21; DARS1; RPL32; UBA52; RPL37A; RPS27A; RPL7A; RPS16; RPS15; RPL28; RPS7; RPL3; RPL24; RPL4; RPS13; RPL36; RPL13; RPS3; RPS20; RPL27; RPL41; RPL30; RPS9; RPS5; RPLP2; RPL29; RPLP0; RPS12; RPS6; RPL15; RPL7; RPL6; RPS2; RPL19; RPS24; RPL36A; CBS; RPL35; RPL8; PSTK; FAU; RPS4X; RPL3L; RPL5; MAT1A; RPL22; RPS27; RPL10A; RPL14"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",2.527960062477e-22,9.57815979227396e-20,1.22105375677186,-0.68908881934208,-3.03276800927105,101,"RPS28; RPS26; RPS21; RPL12; RPL34; RPS29; RPL38; RPSA; RPL27A; RPS14; RPL35A; RPL37; RPS25; RPL11; RPL23; RPS23; RPS18; RPL23A; RPL18; RPL13A; RPS3A; RPL18A; RPL10; RPS11; RPL31; RPS19; RPL21; RPL32; UBA52; RPL37A; RPS27A; RPL7A; RPS16; RPS15; ATF3; RPL28; RPS7; RPL3; RPL24; RPL4; RPS13; RPL36; RPL13; RPS3; RPS20; RPL27; RPL41; RPL30; RPS9; RPS5; RPLP2; RPL29; RPLP0; RPS12; RPS6; RPL15; RPL7; RPL6; RPS2; RPL19; RPS24; RPL36A; RPL35; RPL8; FAU; RPS4X; RPL3L; RPL5; RPL22; RPS27; RPL10A; RPL14"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",2.88803847778638e-22,9.84821120925155e-20,1.22105375677186,-0.606548332898612,-2.85368102134709,156,"UBC; LHX9; RPS28; RPS26; RPS21; RPL12; RPL34; RPS29; RPL38; RPSA; RPL27A; EIF4A3; RPS14; RPL35A; RPL37; RPS25; RPL11; RPL23; RPS23; RPS18; RPL23A; RPL18; RPL13A; RPS3A; RPL18A; RPL10; RBX1; RPS11; RPL31; RPS19; RPL21; RPL32; UBA52; RPL37A; RPS27A; RPL7A; RPS16; RPS15; RPL28; RPS7; CASC3; RPL3; RPL24; RPL4; RPS13; RPL36; RPL13; RPS3; RPS20; RPL27; RPL41; ROBO3; RPL30; RPS9; RPS5; RPLP2; RPL29; RPLP0; RPS12; RPS6; RPL15; RPL7; RPL6; RPS2; ELOB; RPL19; RPS24; RPL36A; RPL35; RPL8; RNPS1; FAU; RPS4X; RPL3L; RPL5; SEM1; LDB1; RPL22; RPS27; PABPC1; RPL10A; RPL14"
