"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_MITOCHONDRIAL_TRANSLATION_ELONGATION",9.68426979717533e-10,3.30233600083679e-06,0.788186810800237,0.547008230342933,2.38276791969864,88,"MRPS25; MRPS12; MRPL24; MRPL41; MRPL58; MRPL12; AURKAIP1; MRPL4; MRPL20; MRPL40; TUFM; MRPL18; MRPL21; GADD45GIP1; MRPS34; MRPS18A; MRPL23; MRPS23; MRPL36; MRPS11; MRPS26; MRPS15; MRPS2; MRPL28; MRPS7; MRPL27; MRPL34; ERAL1; MRPL49; MRPL52; MRPL54; PTCD3; MRPS24; MRPS18B; MRPL46; MRPL37; MRPL55; MRPL14; MRPL16"
"REACTOME_MITOCHONDRIAL_TRANSLATION",6.36624024009077e-09,1.08544396093548e-05,0.761460801445585,0.497171719854851,2.25744961778317,113,"MRPS25; MRPS12; MRPL24; MRPL41; MRPL58; MT-CYB; MRPL12; AURKAIP1; MRPL4; MRPL20; MT-CO2; MRPL40; TUFM; MRPL18; MRPL21; MT-ND1; GADD45GIP1; MRPS34; MRPS18A; MRPL23; MRPS23; MRPL36; MRPS11; MRPS26; MRPS15; MRPS2; MRPL28; MRPS7; MRPL27; MRPL34; ERAL1; MRPL49; MT-ND5; MRPL52; MRPL54; PTCD3; MRPS24; MT-ATP6; MRPS18B; MRPL46; MRPL37; MRPL55; MRPL14; MRPL16; MRPL11; MT-ND3; MRPL57; MRPS5; CHCHD1; MT-ND4L; MT-ND4; MRPL15; MIEF1"
"REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND",1.55723495032746e-06,0.00131107927095809,0.643551836150722,0.553243876180436,2.19599753194004,54,"HSPA8; HSPA1L; FKBP4; STIP1; DNAJA4; DYNLL1; TUBA3D; HSPA2; TUBB4A; DNAJA1; TUBB4B; DYNC1H1; TUBB6; TUBA1C; FKBP5; TUBB2A; TUBA3E; TUBA1B; DCTN5"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",1.55020770433763e-06,0.00131107927095809,0.643551836150722,0.407472645170927,1.94729832036626,154,"UQCR11; SLC25A22; SFXN4; BCS1L; LETM1; MT-CYB; NDUFAF8; DMAC1; ACAD9; MT-CO2; PNKD; COX20; SLC25A11; GOT1; FOXRED1; MT-ND1; UQCC2; NDUFAF3; NDUFS7; MDH2; NDUFB10; SDHB; NFS1; NDUFA2; NDUFA13; NDUFS8; TACO1; UQCRQ; COA1; RAB5IF; TIMMDC1; COX14; COA3; NDUFV3; TMEM177; NDUFA8; NDUFS5; CYC1; COX5B; COX17; UQCRC1; NDUFS6; ETFB; NDUFB7; NDUFB2; SCO2; NDUFA3; NDUFV1; UQCC5; MT-ND5; SURF1; COX8A; UQCR10; NDUFB9; GOT2; COX7B; COX5A; FXN; TIMM21; MT-ND3; SLC25A12; UQCC3; TMEM223; NDUFB11; ECSIT; MT-ND4; COX6A1; COX4I1; SCO1; TMEM186"
"REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL",1.9224036231057e-06,0.00131107927095809,0.627256739718528,0.541264086004287,2.18225955682046,59,"PDCD11; HEATR1; RRP9; DHX37; DDX49; TRMT112; RRP36; NHP2; NOP2; RRP7A; TBL3; PWP2; NOP10; WDR3; NOP56; NOC4L; SNU13; RCL1; TSR3; IMP4; UTP20; WDR46; NOP14; UTP3; BMS1; RPS2"
"WP_7Q1123_DISTAL_COPY_NUMBER_VARIATION",7.0463116761441e-06,0.00400465380260857,0.610526878385931,0.714429530944559,2.23519815805754,20,"SFN; KIF1C; HSPB1; TMEM120A; STYXL1; MDH2; ZP1; LMNA; POR; TMEM120B"
"PID_HIF1_TFPATHWAY",1.09263605995934e-05,0.0046573612055767,0.593325476396405,-0.519638068647433,-2.11924285956648,61,"CXCL12; ID2; RORA; CP; BHLHE41; PGM1; ARNT; FECH; HMOX1; ADM; CXCR4; BNIP3; PGK1; TFRC; ENO1; VEGFA; SMAD4; EGLN3; BHLHE40; LDHA; PFKFB3; NDRG1; SLC2A1; ETS1; FOS; CITED2; ALDOA; TF; NT5E; NPM1; HK2"
"REACTOME_TRNA_PROCESSING",9.95297295163185e-06,0.0046573612055767,0.593325476396405,0.425476011738902,1.93025429600319,112,"METTL1; WDR4; PUS1; TRMT44; TRMT12; TRMT61A; TRMT1; CTU1; LAGE3; POP1; POP5; NUP62; HSD17B10; TRMT112; CSTF2; RANBP2; GTPBP3; RPP25; ADAT1; SEC13; CTU2; POP4; NUP210; URM1; TSEN54; RPP40; THADA; TP53RK; DUS2; QTRT1; NUP188; POP7; MTO1; ELAC2"
"REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT",2.1824422619225e-05,0.00826903123683971,0.575610261071129,0.328964764966617,1.67977476923825,251,"UQCR11; SLC25A22; ATP5F1D; SFXN4; BCS1L; LETM1; PGAM5; MT-CYB; NDUFAF8; DMAC1; ACAD9; MT-CO2; PNKD; COX20; SLC25A11; GOT1; CSKMT; FOXRED1; MT-ND1; UQCC2; GPT; NDUFAF3; UBB; NDUFS7; MDH2; FAHD1; UCP3; ATP5MC1; PC; NDUFB10; MKLN1; SDHB; NFS1; NDUFA2; NDUFA13; NDUFS8; LDHAL6A; TACO1; UQCRQ; COA1; RAB5IF; TIMMDC1; COX14; COA3; NDUFV3; TMEM177; NDUFA8; NDUFS5; ATP5MF; CYC1; COX5B; COX17; ATP5MC2; UQCRC1; NDUFS6; ATP5ME; IDH3A; ETFB; NDUFB7; NDUFB2; SCO2; ATP5F1B; NDUFA3; NDUFV1; UQCC5; ACO2; MT-ND5; SDHAF2; OGDH; SURF1; COX8A; ATP5MC3; MT-ATP6; ADHFE1; UQCR10; NDUFB9; GSTZ1; GOT2; ATP5F1E; COX7B; SDHAF1; COX5A; FXN; PM20D1; TIMM21; MT-ND3; SLC25A12; RMND5B; UQCC3; IDH3B; TMEM223; NDUFB11; SIRT4; ECSIT; MT-ND4; COX6A1; COX4I1; PDK2; SCO1"
"WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA",2.73847175132123e-05,0.00933818867200538,0.575610261071129,0.418487344213872,1.8749170859986,104,"UQCR11; ATP5F1D; MT-CYB; ATP5IF1; MT-CO2; MT-ND1; NDUFS7; UCP3; ATP5MC1; NDUFB10; SDHB; NDUFA2; NDUFA13; NDUFS8; UQCRQ; NDUFV3; NDUFA8; NDUFS5; ATP5MF; COX5B; COX17; ATP5MC2; UQCRC1; NDUFS6; ATP5ME; NDUFB7; NDUFB2; ATP5F1B; NDUFA3; NDUFV1; MT-ND5; SURF1; COX8A; ATP5MC3; MT-ATP6; UQCR10; NDUFB9; ATP5F1E; COX7B; COX5A; MT-ND3; MT-ND4L; MT-ND4; COX6A1; COX4I1; SCO1"
"REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION",3.58907567470275e-05,0.0111261345915785,0.557332238758646,0.463108879823904,1.94664615618217,73,"H3C10; ACTB; MYO1C; H2AX; KAT2A; H2BC5; MYBBP1A; POLR1A; H4C14; H2BC21; POLR1B; H2BC12; POLR2H; H4C4; H2BC8; POLR2F; POLR1G; POLR2L; EP300; H2BC11; H3C2; H3C15; H2AC18; H2AC6; POLR1E; H2AC20; BAZ1B; POLR1H; TAF1C; H4C3; POLR2E; ERCC6; DDX21; H3C13; TAF1A; H4C11; H2AC8; H4C16"
"REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL",5.0228002029493e-05,0.0142731239100476,0.557332238758646,0.5427899816277,2.04816235323381,43,"METTL1; WDR4; PUS1; TRMT44; TRMT12; TRMT61A; TRMT1; CTU1; LAGE3; TRMT112; ADAT1; CTU2; URM1; THADA; TP53RK; DUS2; QTRT1"
"WP_PYRIMIDINE_METABOLISM",6.31387544732857e-05,0.0165617809810696,0.538434096309916,0.444142570761055,1.91279338185879,83,"NME2; NME3; POLA2; TYMP; POLR1A; POLD4; POLR1B; NME1; POLR2H; UPP1; POLR2G; CAD; DCTPP1; POLR3K; POLR3H; POLR2A; POLR2L; CTPS1; NT5C; POLR3B; POLR2I; NME6; POLR3E; NT5M; POLE4; UMPS; POLR3D; POLR1E; DHODH; POLR1H; POLD2; POLR2E; UCK2; NME1-NME2"
"REACTOME_HSF1_DEPENDENT_TRANSACTIVATION",0.000101784367366541,0.0247917637657076,0.538434096309916,0.578683641637444,2.06327430196115,34,"HSPA8; HSPA1L; FKBP4; HSPA2; HSPB1; AKT1S1; MRPL18; HSPH1; RPTOR; UBB; SERPINH1; EP300; MTOR; MLST8"
"REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING",0.00012001979097034,0.0272844991472572,0.538434096309916,0.585439352979306,2.05709604776231,32,"CCT3; TUBA3D; TUBB4A; ACTB; CCT7; TUBB4B; CCT5; TUBB6; TUBA1C; PFDN6; TUBB2A; PFDN2; TUBA3E; TUBA1B"
"REACTOME_ATTENUATION_PHASE",0.000139543544209225,0.029740217859591,0.518848077743792,0.628617671383293,2.08349548108496,25,"HSPA8; HSPA1L; FKBP4; HSPA2; HSPB1; MRPL18; HSPH1; UBB; SERPINH1; EP300"
"KEGG_HUNTINGTONS_DISEASE",0.000169845320770486,0.0340689731663152,0.518848077743792,0.342495071561715,1.66062716893949,170,"UQCR11; ATP5F1D; GRM5; MT-CYB; DNAI1; MT-CO2; POLR2H; POLR2G; NDUFS7; CLTB; ATP5MC1; NDUFB10; POLR2F; PLCB2; POLR2A; SDHB; CLTCL1; POLR2L; NDUFA2; PPID; NDUFS8; POLR2I; UQCRQ; EP300; TGM2; NDUFV3; NDUFA8; NDUFS5; CYC1; COX5B; CREB3L1; CREB3L4; ATP5MC2; UQCRC1; NDUFS6; GPX1; NDUFB7; NDUFB2; ATP5F1B; NDUFA3; CREB5; AP2S1; NDUFV1; COX8A; ATP5MC3; MT-ATP6; UQCR10; NDUFB9; BBC3; ATP5F1E; POLR2E; GRIN1; COX7B; COX5A; AP2M1"
"REACTOME_PROCESSING_AND_ACTIVATION_OF_SUMO",0.000190319202582777,0.036054915600404,0.518848077743792,-0.802413765113569,-2.05478254607543,10,"SUMO3; SUMO2; SUMO1; SENP2; UBE2I; UBA2"
"KEGG_ALLOGRAFT_REJECTION",0.000264949848692214,0.0475515254758131,0.49849310876659,-0.719672161202786,-2.063199254633,15,"HLA-DMB; HLA-DQB1; HLA-B; HLA-G; HLA-E; HLA-DRA; HLA-C; HLA-F; HLA-A; HLA-DMA; IL4"
"KEGG_AUTOIMMUNE_THYROID_DISEASE",0.000371758497227154,0.0570312601488691,0.49849310876659,-0.667551711325625,-1.98889477257274,17,"HLA-DMB; HLA-DQB1; HLA-B; HLA-G; HLA-E; HLA-DRA; HLA-C; HLA-F; HLA-A; HLA-DMA; IL4"
"KEGG_RNA_POLYMERASE",0.000376562895821114,0.0570312601488691,0.49849310876659,0.56894947697201,1.95547784118291,29,"POLR1A; POLR1B; POLR2H; POLR2G; POLR3K; POLR3H; POLR2F; POLR2A; POLR2L; POLR3B; POLR2I; POLR3D; POLR1E; POLR1H; POLR2E"
"REACTOME_SUMO_IS_PROTEOLYTICALLY_PROCESSED",0.000384668323584748,0.0570312601488691,0.49849310876659,-0.886694080797325,-1.91955732884867,6,"SUMO3; SUMO2; SUMO1; SENP2"
"WP_ALLOGRAFT_REJECTION",0.000335334334947212,0.0570312601488691,0.49849310876659,-0.504872998447378,-1.96471200864488,48,"HLA-DMB; AGTR1; CXCL12; VIM; HLA-DQB1; C3; C4B; HLA-B; C6; HLA-G; HLA-E; C2; HLA-DRA; HLA-C; HLA-F; VEGFA; TGFB1; HLA-A; HLA-DMA; IL4"
"REACTOME_HCMV_EARLY_EVENTS",0.000417233033754974,0.0592818602126859,0.49849310876659,0.369449981635029,1.69320585561048,120,"DYNLL1; TUBA3D; H3C10; TUBB4A; NFKB1; H2BC5; TUBB4B; NUP62; H4C14; H2BC21; H2BC12; RANBP2; H2BC18; H4C4; DYNC1H1; TUBB6; H2BC8; TUBA1C; SEC13; NUP210; H2BC11; TUBB2A; H3C2; TUBA3E; TUBA1B; H3C15; TRIM28; H2AC18; NCOR1; H2AC6; NUP188; H2AC20; DAXX; DYNC1I1; H2AC11; H4C3; TPR; AAAS; NUP98; H3C13; H2AC16; TBL1X; H4C11; NCOR2; H2AC8; H4C16; TUBB1; TUBB8B; GPS2; H4C9; TUBA4A"
"REACTOME_TRANSLATION",0.000458375398604969,0.0625224043697178,0.49849310876659,0.27429977284364,1.46049230323731,365,"MRPS25; MRPS12; MRPL24; AIMP2; MARS2; YARS2; MRPL41; MRPL58; MT-CYB; MRPL12; ASCC2; AURKAIP1; MRPL4; EARS2; MRPL20; LARS2; MT-CO2; MRPL40; TUFM; MRPL18; TRMT112; FARSA; WARS1; MRPL21; MT-ND1; ADRM1; GADD45GIP1; VARS1; MRPS34; RPL26L1; MRPS18A; MARS1; UBB; MRPL23; MRPS23; SRPRB; MRPL36; MRPS11; MRPS26; AARS1; MRPS15; PSMA7; NARS2; SRPRA; EIF4G1; MRPS2; MRPL28; AARS2; DDOST; SEC61A1; MRPS7; APEH; RPN2; EIF3A; EIF3C; EIF3K; MRPL27; PSMD8; DARS2; IARS1; RPN1; FAU; MRPL34; PARS2; ERAL1; MRPL49; MT-ND5; EEF1A2; MRPL52; PSMC4; MRPL54; EIF4EBP1; EIF2B2; PTCD3; MRPS24; RPLP2; MT-ATP6; MRPS18B; ZNF598; MRPL46; MRPL37; MRPL55; MRPL14; RPS2; MRPL16; RPL35; EIF3G; PSMB3; ELOB; PSMD3; PSMC3; EIF2B3; MRPL11; RPL28; TARS2; MT-ND3; RPS17; PSMC5; RPS5; RPS12; EPRS1; RPL36; MRPL57; RPL39L; MRPS5; CHCHD1; MT-ND4L; RPL8; MT-ND4; RPS16; SEC61B"
"WP_GABA_AND_GLUTAMATE_SIGNALLING_IN_EPILEPTOGENESIS",0.000551446472101226,0.0723243257640454,0.477270815362862,-0.389734213808475,-1.74442456335027,100,"SLC6A6; MAP1LC3B; GABRA6; EFNB2; GRIK1; GABRA3; GLUL; CPEB3; SLC1A1; CDH2; NPTN; GRM8; GRIN2C; GRM2; SUMO1; SLC6A13; MAP2K1; GABRA1; GRIK2; ATAD1; GABRR2"
"REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC",0.000572719490867517,0.0723323505132678,0.477270815362862,0.595172662647871,1.97264507433174,25,"CCT3; TUBA3D; TUBB4A; CCT7; TUBB4B; CCT5; TUBB6; TUBA1C; TUBB2A; TUBA3E; TUBA1B"
