"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"RAF_UP.V1_DN",1.13435531502985e-05,0.00150533727314486,0.593325476396405,-0.379378056418743,-1.79138749298129,178,"ACKR3; ID2; CRABP1; CAV1; DLC1; TM4SF1; SLC24A3; MXI1; PMP22; STC2; DDIT4; PPP1R3C; IRX5; TSC22D3; MAFB; FOS; SOX9; FTO; CLIC3; SOX4; UGDH; FANCF; WASF3; SDC2; SMAD7; PDK3; BAMBI; SLC39A8; PTBP2; CBFA2T3; ID1; CCND1; RHOBTB3; INPP4B; FAM234B; GFRA1; ZBTB10; CCN5; ZHX2; ABAT; RND3; SH3BGRL; FRAT2; AK4; PDCD4"
"SIRNA_EIF4GI_UP",1.59294949539138e-05,0.00150533727314486,0.575610261071129,-0.463350536737774,-1.95531472720009,88,"ZFP36L2; PAPSS1; NQO1; PYGL; HLA-B; CAMLG; ATF3; PERP; AFG3L2; CTSH; NONO; ASS1; TCF25; SLC25A5; CCN5; CEBPD; PDHA1; RMND1; ST13; FRAT2; CTSC; SLC25A3; SAMM50; TRAF3IP2; ATP5F1A; DDX54; CCT4; DDX50; SETDB1; HSPD1; PSAP; FXYD3; NCAPD2; MRPS30; DRG1; IGF2R; EID1; UQCRC2; ECI1; GLUD1; EIF3K; CSDE1; LAP3"
"BMI1_DN.V1_UP",3.55210049706274e-05,0.00171964075252605,0.557332238758646,0.400749038689727,1.79516160273881,126,"ADAM12; LRRC15; TGFB2; GREM1; INHBA; MFAP5; KCNC4; TMEM51; CDCP1; ANXA3; PLXNA2; LRIG1; SLC1A4; COL16A1; PTHLH; TRIO; SLC5A6; MARCHF3; ITGA4; ACTA2; GPRC5A; POMT2; SLCO4A1; LAMB3; MICA; KMT2A; FKRP; TIMP3; PANX1; VANGL1; PAPPA; SRPX2; SLC1A5; ADRB2"
"KRAS.KIDNEY_UP.V1_UP",3.63945132809745e-05,0.00171964075252605,0.557332238758646,-0.408693125566087,-1.79679757054532,113,"CP; NRXN1; HPCAL4; ARPP21; CPEB3; MAFB; ATP1A2; RTN1; TSPAN7; NRN1; SORBS1; GRIA2; PNMA2; NOL4; MPZL2; CFAP69; FGF9; CAB39L; DUSP6; GAD1; GAP43; GPR37; WIF1; FZD3; RNLS; MEF2C; SELENOP; GPRC5B; GPNMB; SLC1A3; NEBL; PLSCR4; TRIM9; SLC6A15; SNAP91; CPE; EMP1; GPM6A"
"ESC_J1_UP_LATE.V1_UP",0.000192690568691282,0.00728370349653047,0.518848077743792,-0.355766010157582,-1.64566837756842,156,"ID2; BMP2; CITED2; KLB; GLIPR1; GADD45B; P4HA2; FST; TTR; DRAM1; PTH1R; AMN; DAB2; HLA-DRB1; GPC3; SPINK1; AFP; SLC39A8; TUFT1; APP; NAGA; PRSS8; GSN; ATF3; GPRC5C; EFNA1; P4HA1; OCLN; CTSH; CBX4; CCN1; HMGA2; ZDHHC9; LGALS2; HNF4A; SELENOP; PDIA5; PRXL2A; RNF128; RNF130; CTSC; LMBRD1; LPAR3; CHRNB1; RAB11FIP5; TCN2; SERPINE2; ENPEP; RAB33B; MYO7A; GPX3"
"LEF1_UP.V1_DN",0.000234017240540321,0.00737154307702012,0.518848077743792,-0.353318682307041,-1.63909175891097,160,"TM4SF1; ID3; PLOD2; EFHD1; TNNC1; CYP1B1; GSTM3; FOXA1; MDFIC; PDGFC; TCEAL1; ACSF2; NUDT18; PROS1; PRSS8; ID1; TMEM135; ELF3; SMPDL3A; SEMA3F; PDZK1IP1; CTSH; KCNQ1; ENC1; TNS3; MLLT3; CDH17; SH3BGRL; RAB25; DPYSL3; TMEM144; MEF2C; DIXDC1; TEX14; SELENOP; ZNF711; ATP1B1; PLSCR4; PIAS3; MANBA; C1orf115; RRAGB; TLR3; PLLP; TRAF3IP2; CAT; CPE; RBM47; DECR1; TSPAN8; CNN3; CRYBG1; KLRF1; CPOX; LIMCH1; GRB14"
"KRAS.DF.V1_DN",0.000343023664888296,0.009261638951984,0.49849310876659,-0.349572735016477,-1.61702011786317,156,"HOXC8; LCP1; PCBP3; GLIPR1; SEMA3C; PTGS2; OR1F1; IGFBP3; RNF122; KLF11; RET; SMAD7; TNXB; TUFT1; SMAP1; FAM153A; PRSS8; FBN2; ETS2; RNMT; TCFL5; CAMKV; SEMA6A; CBX4; WASF1; COL4A5; TMEM45A; BMP4; SLC17A1; GAP43; MINDY1; SP2; NEUROD2; NRP2; ALOX5; LYRM4; KLF4; EXOSC7; LANCL2; CNTFR"
"NFE2L2.V2",0.0004835822050265,0.0114246295937511,0.49849310876659,-0.297757143288171,-1.51728939655248,343,"ACKR3; HMOX1; SLC6A6; HLA-DQB1; AMBP; PTPRD; POU3F3; STC2; ALB; ABCC2; CXCL12; GPT2; NQO1; KCNQ2; ORC1; SLC2A4; IGFBP3; SMAD9; GSR; TSPAN7; UGDH; RET; FGL1; SEMA3G; MDFIC; FTLP2; MAP2; DDC; PRSS53; RIMKLA; FTH1P20; TET1; IQGAP2; ZNG1F; SLC47A1; HGD; TPPP3; GCLC; LANCL3; BRINP3; HPDL; GPCPD1; FTL; HAO1; VEGFD; CNTNAP5; SREBF1; SF1; ZNG1A; ADRA1A; PTPRZ1; ZSWIM6; ME1; FTH1P16; FLT1; GCNT3; DGKG; ALDH3A2; PARL; FTH1P3; STYK1; ZNF430; GPNMB; RPL22L1; RABL3; TMEM18; SHMT1"
"PGF_UP.V1_DN",0.00115324633317682,0.0242181729967131,0.45505986738723,-0.335553865081629,-1.55217297034954,156,"SPRY1; AOC4P; BMP2; CEBPA; PTGFR; EDN2; ENPP2; DLGAP1; DLEC1; ATP2B2; TMSB4Y; TNFAIP3; CBFA2T3; RAB5C; KHDRBS2; ZNF185; DDX3Y; ZFR2; NELL2; POU2F3; MCF2L; ATP1A3; MAST1; SH3BP1; PPFIA4; CDKN2C; PTPRU; UBE2H; AK4; CREBZF; SLC6A15; TMEM97; NFKB2; ARC; LOXL1; BCAM; SVEP1; GPR37L1; CACNA1H; PTPRH; PKD1; CFAP20; ENTPD2; ACAT2"
"PDGF_UP.V1_DN",0.00136835020840357,0.0258618189388275,0.45505986738723,-0.397977904514532,-1.66556571273131,84,"CRABP1; DBP; AOX1; ALB; ACADL; LRP2; SLC8A2; SEMA3C; BHLHE40; CTNND2; HERC3; RHOBTB1; C2; KLF5; FBN2; DUSP10; EGF; PPP2R5B; COL4A5; JUN"
"ESC_V6.5_UP_LATE.V1_UP",0.00184639792337274,0.0268437851936498,0.45505986738723,-0.327892962564449,-1.52008302432267,158,"H1-0; BMP2; LCP1; NDRG1; PLOD2; P4HA2; GAS1; TTR; PTH1R; TNNC1; DAB2; TSPAN7; EVX1; GPC3; FOXA1; HLA-B; AFP; FBXL20; SLC39A8; APP; PRSS8; NARF; RIPK4; GPRC5C; EFNA1; P4HA1; OCLN; CTSH; MICU1; ZDHHC9; SMIM14; GATAD2B; VEGFB; FRAT2; SELENOP; PRXL2A; RNF128; RNF130; LMBRD1; EGLN3; MYLIP"
