"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"PGF_UP.V1_UP",2.61172404193076e-06,0.000493615843924914,0.627256739718528,0.380065078188994,1.91181939560055,179,"ARMCX2; COL8A1; PCDHA12; SACS; RFK; XIST; NAT1; RRS1; RCBTB2; ATP2A3; DZIP1; SYNE2; SMC4; CCPG1; REV3L; RECQL; ATR; RNF6; TGFBR3; ZNF268; MKLN1; LARP4; MMP10; STK38L; ITSN2; MAPK6; DHX29; VCAN; STON1; NUP155; TRIP11; MIPEP; NEK1; PPAT; ITGA2; KIF5B; SULF1; THSD7A; PPID; STAM2; ZNF451; NAP1L3; RIF1; HSPA13; LRRC17; KIAA0040; THOC2; SLC38A6; ZNF117; ADAM9; MBTPS2; RARB; TASOR; BAZ2B; PRKACB; CEBPZ; ATP13A3; PEX1; POLR1F; CEP350; SMC3; SCAF11; ZC3H14; SREK1; IREB2; NUCB2; MTREX; OSBPL8; ZZZ3; DCP2; ZNF674; ASCC3; CDC27; CD2AP; ABCE1; STAU2; AGL; AGA; CREB1; CPD; TMED5; HS2ST1; SKIC3; LTBP1; UGP2; TOPORS; LGALS8; GLRB; SGMS1; UFL1; IL6ST"
"STK33_SKM_UP",1.03915154229483e-05,0.000981998207468618,0.593325476396405,0.3323178128417,1.72429821192837,226,"SIPA1L2; RAB7B; MPPED2; MIR22HG; PALLD; CYBRD1; IL1A; ZNF718; MSS51; CEP19; GBP2; CREB5; CPEB2; VSIR; OSBPL11; MFSD9; ANXA1; CD101; PLK2; ZNF763; ACTA2; CLDN1; CYBB; TMOD2; NFKBIZ; RCBTB2; SANBR; GCNA; MNS1; TRIM23; ZNF432; PHLDA1; PTPRM; MFAP3L; TMTC3; CD58; LRRC37A2; BTG2; CMTM3; KITLG; SOWAHC; NMNAT1; SLC7A11; HBEGF; ARHGAP42; CTSK; RHOB; RESF1; KLF6; BTBD7; EGR1; CPEB4; TTLL7; IRF9; BCLAF3; SKIL; IL15; TNFRSF11B; NCF2; NLRC4; TRIP11; ZNF407; UPP1; FGD4; SERAC1; SLC12A6; RGS1; DPY19L4; NFXL1; LCOR; WDR19; DAAM1; NBEAL1; ITGB8; STAM2; THAP1; MATCAP2; MFAP3; H2BC4; SLC38A6; ZNF117; CMTM1; CRK"
"ESC_V6.5_UP_LATE.V1_UP",2.5628478385786e-05,0.00161459413830452,0.575610261071129,-0.385592062605643,-1.81907476164782,158,"H1-0; APOA1; BMP2; TNNC1; COL2A1; NDRG1; HLA-B; PTH1R; P4HA2; PRSS8; NARF; OCLN; RIPK4; PLOD2; P4HA1; EGLN3; VEGFB; TSPAN7; EFNA1; GAS1; HPN; LOXL2; PLAGL1; GPC3; ZDHHC9; APP; CTSH; DAB2; NENF; HEY1; AFP; FOXA1; FRAT2; RNF130; CHST15; PLXNB2; MFAP2; GATAD2B; GPRC5C; RNF128; PKDCC; EVX1; CCNG2; TRAPPC6A; LCP1"
"ERBB2_UP.V1_DN",0.000124913408101835,0.0059021585328117,0.518848077743792,0.324364574880222,1.63787053960389,185,"ANXA3; PMAIP1; WIPF1; KIF5C; ASS1; ARHGAP29; CENPE; RMC1; GNL2; STK17A; BCL2; PDZK1; ZCCHC2; RECQL; AOPEP; IFIH1; MTCL1; ZNF267; ATR; MGP; NRIP1; TRMT61B; TAF2; ICE1; NCAPG; INPP5F; HSPB8; PAK1IP1; RBBP8; HAUS3; FKTN; DEPDC1; FBXO5; ABLIM1; KANK1; ZBTB11; SLC26A2; MPDZ; NOL8; ITPRID2; ATP8B1; ECT2; MYBL1; DTL; ERI2; JAK2; ZNF107; CUL5; PUS1; PLK4; RIF1; HSPA13; NAA15; HSPA4L; MATN2; TTK; ATF1; STIL; ADAM9; RASGRP1; CEBPZ; MTERF3; RANBP6; LPGAT1; NOC3L; CHD1; SMC3; PLA2G12A; GOLGA4; C2CD5; LAMB1; LTN1; RPAP3; TOPBP1; DDX60; SLC7A2; IFIT5; RAD54B; USP16; DBF4; AGL; POLI; CASP6; EHBP1; LRIG1; GULP1"
"PGF_UP.V1_DN",0.000223483067773343,0.00751370766078977,0.518848077743792,-0.361854833294299,-1.70482133388474,156,"BMP2; SPRY1; AOC4P; KHDRBS2; EDN2; KCNC3; SHH; MCF2L; PKD1; CACNA1H; PPFIA4; NOS1AP; ENTPD2; AK4; VGF; MAST1; DLEC1; LOXL1; NELL2; DLGAP1; PTPRU; CBFA2T3; OBSCN; KCNQ3; PAX2; POU2F3; ENTPD3; FZD7; S100A4; GPR37L1; HBZ; MYO1F; BCAM; DDX3Y; NFKB2; CLASRP; ERF; DHCR24; ENPP2; PTPRH; NPR2; TTLL3; SLC29A2; TMEM97; CCDC9; KLK10; TNFAIP3; ATP1A3; EVPL; KMT2D; CFAP410; PKLR; SH3BP1; NUCB1; PXN; UBE2H; RFNG; CEBPA; ELAVL3; CYP1A1; LRRC23; MEF2B; PKP3; TMEM158; TMSB4Y; ZNF646; ITGB4; CDKN2C; ACAT2; LY6E; IRF2BP1; ZFR2; GRM2; RAB5C; SLC6A15"
"VEGF_A_UP.V1_DN",0.000238530401929834,0.00751370766078977,0.518848077743792,0.330103460250865,1.6648514953227,182,"DKK1; RAB3B; TGFBI; SACS; CBL; MYO5A; PSD3; RRS1; NRP1; ARHGAP29; SPTLC2; MDN1; DNAJC13; CENPE; SMC4; MBD4; RECQL; EXO1; POP1; RNF6; OSTF1; MKLN1; KIF23; MMP14; BUB1B; NCOA3; LRP8; MAPK6; ATP8B3; DHX29; NUP155; ITGA2; SPAG5; CCNB1; PLCL1; DDX21; CCNE1; PLK4; RGS4; MFAP3; RIF1; LRRC17; CHM; CKS2; SEL1L; MAP3K7; THOC2; AASS; KIF11; BUB1; ZNF117; CDC45; DLGAP5; TTK; ADAM9; NBN; MAP1B; PRKACB; RFC4; TRAPPC8; CEBPZ; NUP50; ATP13A3; TFAM; GATA6; PNO1; SCAF11; RASA2; BIRC5; USP13; VRK1; HMMR; DHFR; SLC7A2; CSE1L; CDC27; NDC80; IPO5; DBF4; BAK1; ZNF253; ITGB3; CCDC86"
"AKT_UP.V1_UP",0.000380375255471447,0.00939443622963866,0.49849310876659,-0.367225381014212,-1.71539177543184,147,"LDLR; NFIL3; IFIT1; ALDOC; NKAIN1; SLC2A1; FLT1; IFIT3; PDK1; INSIG2; GTF2IRD1; DHCR7; ASB11; SECTM1; DLG4; HOXB9; CXCL16; ADORA2B; ERO1A; AK4; NEU1; RUNDC3A; PLAGL1; PDK3; MPZL2; PFKP; FDFT1; ATF3; TJP3; H2BC13; VAMP5; SGSM3; ACOT9; SLC6A6; ST6GALNAC6; CCNG2; PYGL; FXR2; PREP; LSS"
"CYCLIN_D1_UP.V1_UP",0.00039764809437624,0.00939443622963866,0.49849310876659,-0.357388368640525,-1.67359394012789,149,"APOA1; TGFB1; GTF2H4; MNX1; SMOX; PLOD1; HSPA1B; ABCA2; PKD1; HBA2; CEBPD; RXRB; STAT5A; NAA80; KDM5C; EPHA2; HNRNPA0; RASSF7; UBXN1; MSLN; ETS2; DVL1; PDE2A; PAX2; GCHFR; GPT; RXRA; TRAF1; FOXO4; TSC2; EVX1; SUPT5H; PTMS; NCSTN; RAB31; ALDH3A2; H3C2; PCGF2; TAGLN; SMTN; WNT10B; HRC; NDUFB7; MAT1A; HOXB13; ATP4A; SLC19A1; HSPG2; KLF4; PRRC2A; MMP15; CHRNA5; RPS6KA1; BMP5"
"ATM_DN.V1_UP",0.000952836301235208,0.0187039791333474,0.477270815362862,-0.396102322832539,-1.73316657423108,96,"SNCB; SPAG4; RAB3A; RET; LHPP; CNTFR; VEGFA; FLT1; ICAM5; APBA2; NPC1L1; EFNA1; RGS12; CD36; GHRHR; NFKBIL1; ADARB1; PIDD1; CLCN6; PARP3; XCL1; TRAF1; TEKT2; BCHE; PTK2B; GJB1; CLIC2; SLC7A5; ECM2; LHB; F13A1; SARDH; SOX21; H6PD; CHGB; VAV2"
"CSR_LATE_UP.V1_DN",0.00115037852235354,0.0187039791333474,0.45505986738723,-0.361386108777417,-1.65749187432543,130,"TMEM258; MVD; SCD; TSC22D3; SNTB1; LDLR; UBE2L6; IGDCC4; EPB41L4A-AS1; DHCR7; PRRT2; ADORA2B; GAS1; TNXB; ME1; INSIG1; LPAR3; DKK2; FADS2; FDFT1; FAM131C; DYRK1B; LPIN1; VAMP5; ECH1; FDPS; SLC25A1; ROBO3; MAMDC2; IRS2; FADS1; LSS; CCN3; IGBP1; TOX; TSKU; GSN; ERMP1; PRXL2A; TRERF1; EBP; RNLS; TBC1D2B; FTH1; MLLT6; C1orf115; POR; ERG28; RASSF2"
