"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"STK33_NOMO_UP",7.85462778223281e-10,1.484524650842e-07,0.801215574617779,-0.408658954748616,-2.06771708139195,234,"MMP1; CAB39L; ATG14; MTSS1; APPL2; CREBRF; ZEB2; EFNB2; NR1D2; OTUD1; FAM114A1; RAB12; NUAK1; SLC24A3; SDC4; RND3; FBXO32; KCTD3; ZIC2; GJA1; GASK1B; SLC11A2; DAB2; WNT5A; PTBP2; HBP1; PPP1R3B; AUH; BTG3; PTPRO; SGK1; ARNT2; EPAS1; FAM13A; NPEPPS; NKIRAS1; RNF149; CAPRIN2; EMP1; HINT3; ARRDC3; RIN2; NAMPT; CTTNBP2NL; STC1; HMOX1; ZBTB18; TBCEL; KIFC3; CGRRF1; FAM234B; DUSP5; CSRNP1; SEPTIN10; MAFF; UBE2W; GPR137B; LDAF1; STX12; DDIT4L; USP53; PPCS; CYP2E1; ASPH; SLC12A6; GNPDA2; ZFP36L1; ICAM1; YES1; GLIPR1; ANKRD12; AKTIP; PPP3R1; HNMT; STX6; DNAAF9; TWF1; CFL2; MAP4K3; FCHO2; FOS; MAP3K8; PPP1R15A; GPNMB; ZMYND11; CREBL2; DUSP1; TNFSF15; RETREG2; COQ10B; ULK2; KLF6"
"MYC_UP.V1_UP",3.19586499729473e-09,3.02009242244352e-07,0.774939030136436,0.44469896867853,2.13971207887921,162,"AHSA1; MON1A; METTL1; WDR4; TWNK; GEMIN5; PUS1; B3GNTL1; CGREF1; DENND2D; CHCHD10; RRP9; ALG3; SLC25A22; CCDC78; TRMT1; NEFH; P2RX5; ISOC2; ABCC4; CD320; CFAP70; SLC19A1; ADISSP; TSSC4; CCDC124; RRP12; RPTOR; REPIN1; DCTPP1; PRR7; NR2C2AP; POLR1G; ECE2; MRTO4; P3H4; NOC4L; LAS1L; ZNRD2; RPP40; SCFD2; TMEM201; SAC3D1; ABCC6P2; TTYH2; SLC27A2; QTRT1; IL17D; KLF16; POLR1E; PPRC1; EXOSC5; NLE1; MMP16; NOP14; DPP7; EEF1AKMT1; PLA2G4A; PES1; MNT; FAM216A; SPATC1L; NOL6"
"RPS14_DN.V1_DN",2.12693322051768e-07,1.3388629033952e-05,0.690132458796796,0.410515286943693,1.9964808161591,175,"GAL; SRM; DNAJA4; TWNK; RRS1; PYCR1; BYSL; NEFH; ISOC2; CHAC1; SLC43A1; MRPL12; MKI67; CD320; TUBGCP4; COLEC11; STEAP3; HGH1; LARS2; MYH10; BAG2; CDC20; KIF20A; BAG3; DOCK9; VARS1; CAD; BCAT1; PC; GPATCH4; ZC2HC1C; ATP1B2; TUBG1; ERCC2; MRTO4; TBRG4; MRPS2; TPRA1; RPUSD2; CBS; GEMIN4; USP5; TGM2; PCSK7; ZNRD2; TUBB2A; AGFG2; ASNS; CENPE; ZNF74; THEM6; MYBL2; AOC2; NMU; NLE1; EYA3; FICD; PES1; PLK1; SLC29A2; ERCC6L; EIF2B3; SPTB"
"STK33_UP",2.83357228231788e-07,1.3388629033952e-05,0.674962860011025,-0.375251302766656,-1.89559811573308,230,"BMF; MMP1; ATG14; CD36; MTSS1; APPL2; TFPI; CREBRF; ZEB2; OTUD1; CDKN1B; RAB12; NUAK1; RND3; GJA1; GASK1B; TRIB1; WNT5A; HBP1; AUH; BTG3; PTPRO; SGK1; TP53INP1; RTN1; NKIRAS1; RNF149; MAFB; SMIM14; EMP1; HINT3; ARRDC3; CCN3; RIN2; PKIB; NAMPT; STC1; HMOX1; ZBTB18; ADM; DUSP5; CSRNP1; SEPTIN10; MAFF; RNF141; UBE2W; GPR137B; NME7; STX12; SNX16; USP53; DYNC2LI1; PPCS; GPR137C; FAM177A1; ASPH; SLC12A6; ANKRD40; GNPDA2; ZFP36L1; ICAM1; GLIPR1; ANKRD12; ZNF117; SAMD8; AKTIP; PPP3R1; HNMT; STX6; DNAAF9; TWF1; CYTH2; GPR34; CFL2; MAP4K3; FCHO2; PRTFDC1; FOS; PPP1R15A; SOCS6"
"MTOR_UP.N4.V1_DN",3.07117924932071e-06,0.000116090575624323,0.627256739718528,-0.390053969870898,-1.87679151674512,164,"YPEL5; DACH1; TFPI; CCDC28A; SYF2; POLR2J4; NR1D2; MARF1; FBLN5; S1PR1; ZBTB20; CCNG2; HES1; ZNF682; HBP1; EPM2A; ZNF14; SPRY1; SLC23A2; DCAF16; CLK1; HSD17B11; ANXA5; CARF; GARRE1; ZNF277; PCMTD2; PBXIP1; IFT140; SOS2; CBFA2T3; ING4; HOXA7; TXNIP; PLCL1; LZTFL1; PDCD4; ELAC1; ZNF180; SPATS2; MRE11; RCOR3; CLK4; ZNF443; CYP2E1; KRBOX4; MARCHF8; MSANTD2; ST8SIA4; HSPBAP1; BCKDHA; ZNF711; IGBP1; ZNF117; RNF44; TRA2A; PNRC1; BCOR"
"KRAS.KIDNEY_UP.V1_UP",3.52057721713722e-05,0.00110898182339822,0.557332238758646,-0.408237051804853,-1.86527018099103,113,"CAB39L; GPM6A; SATB1; NRXN1; SORBS1; PNMA2; RCAN2; TSPAN7; FGF9; CPEB3; CP; PLSCR4; ATP1A2; RTN1; SLC6A15; HEY1; TRIB2; MPZL2; MAFB; PELI2; EMP1; GABRA1; GRIK2; CFAP69; GABRR2; NRN1; NOL4; PLCL1; GPRC5B; GPR19; TRIM9; CCND2; TRIM2; GAD1; NEBL"
"MTOR_UP.N4.V1_UP",9.28385637132891e-05,0.00250664122025881,0.538434096309916,0.35131703909075,1.71079409890446,178,"HERPUD1; SDF2L1; CCDC86; ACACA; RRP9; SLCO4A1; PYCR1; GUCY1A1; SLC1A5; NANS; SEC24D; RABEPK; ISOC2; CHAC1; CEBPB; MRPL58; SLC43A1; CLPB; FAH; ABHD6; MAP1A; LARS2; GAS2L1; TIMM44; GOT1; HYAL3; RRP12; GALE; DDIT3; VARS1; MARS1; PSPH; ASPHD1; SPRED2; BCAT1; COX10; PHACTR2; COASY; LGMN; TBRG4; PUM3; PCK2; SLC39A14; SLC39A4; TUBB2A; NIBAN1; ASS1; ASNS; IDH3A; CDK16; PJA1; MFAP4; SLC7A5; ANXA3; EIF4EBP1; SYNPO; MGAT4A; BSPRY; ULBP1; RBM28; SREBF1; ZPR1; EIF2B3; CHORDC1; TRIB3; DHCR7; LHX2"
"EIF4E_UP",0.000134254599770545,0.00317176491957913,0.518848077743792,0.416748329202113,1.82225328284288,90,"AHSA1; MON1A; METTL1; CKMT2; NPM3; NOP16; ISOC2; NKX2-8; TUFM; SNRNP25; SRXN1; MDH2; TALDO1; CAMK2N2; MYH6; MAP2K3; UROS; RGS3; ZNRD2; ZNF576; PFDN2; ATP8B3; ATP5MF; MAPK8IP1; DNPH1; RSAD1; BOLA1; VPS28; GEMIN6; TMEM11; PHYKPL; UQCC4; SNTB1; FBXL13"
"IL2_UP.V1_UP",0.000378801798064579,0.00795483775935615,0.49849310876659,0.349272028959288,1.65881908834344,149,"EGR1; KIF1C; TWNK; PUS1; RHBDF2; SLCO4A1; LRP8; SLC1A5; VDR; HEG1; ABTB2; PRAF2; URB2; PYCR3; TNFRSF12A; ALDH4A1; EGR2; RHOB; ATG101; TBC1D9; RPP25; GPT; SPATA2L; PRR7; POLR1G; CDCP1; SH2D4A; CCDC85B; ESRP2; KIF13A; TNFRSF1B; TM4SF5; HABP4; ZNF343; RGS3; TPBG; IL1A"
"LTE2_UP.V1_UP",0.000639454578860684,0.0120856915404669,0.477270815362862,-0.329848208559425,-1.60337597039209,176,"DPYSL2; SOAT1; LMO4; MARCKS; BTG1; APPL2; RLN2; RAB40B; DEGS1; AOX1; RPS6KA5; DAB2; EFCAB11; UST; ATP6V1H; HMGCS2; BNIP3L; KLHDC2; RRAGD; INSIG2; PROS1; EPAS1; NUDT4; NIPSNAP2; PGM1; NPC2; SLC9A6; RMND1; RIN2; RHOQ; NOVA1; CXCR4; CGRRF1; DSC2; GCLM; SEPTIN10; ABCC3; NUP43; RAB27A; GGH; MEIS2; ELF5; MMP9; RAB4A; HSD17B14; ASPH; SOWAHC; STAU2; BACE2; SDCBP; NUMB; OPN3; EHF; PNRC1; HMGCS1; PPP1R3C; GLTP"
"MEL18_DN.V1_UP",0.000929706704049734,0.0159740515514,0.477270815362862,0.360106507632338,1.65216795947286,119,"GAL; SND1-IT1; SLCO4A1; ABLIM3; SLC1A5; P2RX5; TGFB2; PTHLH; LRIG1; STEAP3; SLC19A1; ITGA4; GPR3; NRP1; ECM1; SLC1A4; SLC22A4; GNB3; ATP13A2; KMT2A; ADGRE5; CDCP1; TYRO3; P3H3; TMEM51; ADAM12; LHFPL2; CSF1; INHBA; KCNN3; PLXNA1; INHBE; MMP15; LAMB3; C2CD2; STX1A; SLC7A5; ABCC5; ITGA3"
"CAMP_UP.V1_DN",0.00128548790381839,0.0180603357173582,0.45505986738723,-0.315068942161652,-1.54144863405737,183,"PTPRD; FOXN3; SH3PXD2A; CELF2; KBTBD11; ID2; ENO2; TIMP2; SERINC1; EIF4B; RERE; FSTL1; TARBP1; ZMIZ1; STXBP1; RAB31; RNF138; PLS3; DGCR5; NPEPPS; JARID2; ME1; UBTD2; CLK1; TSPAN5; NYNRIN; INSIG1; SRRM1; CDCA7L; NAP1L1; ATL1; RETREG3; TUBB2B; MBD2; GLO1; MED4; CCND2; SRSF2; SMARCC1; DDAH1; UBE2E2; HINT1; MAL2; PAM; GEM; ITSN1; TMEM97; MAP4K4; TMSB4X; NDRG1; PFKFB4; RAP2A; TTYH3"
"RAF_UP.V1_DN",0.00115129616585048,0.0180603357173582,0.45505986738723,-0.324981501884066,-1.5837081640544,178,"PMP22; DLC1; ACKR3; VAV3; TFPI; EFNB2; ELAPOR1; CAV1; CCND1; ID2; SLC24A3; RND3; MXI1; PTBP2; TSPAN3; TGIF2; SLC1A1; BTG3; SDC2; ARNT2; SOX4; EPB41L4B; SMAD7; MAFB; CRABP1; TM4SF1; ARL3; ADGRG1; FAM234B; CBFA2T3; STC2; PCGF3; IGFBP4; FTO; PDCD4; EIF2S3; SH3BGRL; CTNNAL1; TFAP2A; TMEM268; DNAJC12; DDIT4; SLC19A2; SHROOM2"
"TBK1.DF_UP",0.00133780264573024,0.0180603357173582,0.45505986738723,-0.284360006400925,-1.46315722133816,267,"KLF11; RHOBTB1; BTG1; BEX4; OSBPL2; RLN2; DEGS1; SERTAD2; ENO2; TMEM45A; DCUN1D2; WWTR1; TRAPPC2; DAB2; TMEM50A; RNF103; CRABP2; BTG3; NRBF2; PROS1; TMEM41B; LAPTM4A; EPB41L4B; NUDT4; PLEKHF2; DERA; RIN2; NFIL3; STX3; CAMK2G; SWAP70; GARRE1; HMOX1; RNF38; ADGRG1; CGRRF1; GPR107; BID; SNX24; DUSP5; ZDHHC6; TUFT1; SLCO3A1; SLC30A1; PHF10; STX12; PHTF2; GCA; GINS1; RAD51AP1; DNAJB6; NT5C2; MMP9; SLC33A1; C1GALT1C1; FZD6; PTK6; OPN3; SLC39A6; UBA3; IQCK; CLDN4; CXCL8; GOLGA8A; SIRPA; SNX10; SLC2A3; RAB21; GALNT10; GTF2E1; EFNA1; VAMP3; TTC33; TP53BP2; CHIC2; PTK7; PPP3CC; LRP12; UXS1; EXTL2; ANKMY2; LPXN"
"PRC2_EED_DN.V1_UP",0.00147224236957218,0.0185502538566094,0.45505986738723,-0.326648830867306,-1.54994453552747,149,"MTSS1; RAB40B; SATB1; HOXC8; HOXA2; ZBTB20; ADGRF5; TRIB1; PTBP2; FUCA1; CLGN; ERMAP; PLSCR4; ZNF226; SLC6A15; PKD2L1; ENPP2; CTSO; CD5; ZNF277; RNF38; CDKN1C; SCTR; PCGF3; DKK2; TUFT1; ANGPTL4; TAF11; CCND2; CBR4; PRELID3B; PTPN7; SLC35D2; NXPH3; DNAJC12; BACH1; SERINC5; NR3C2; CDK2AP1; ARHGAP24; CYP1A1"
